"ti_a1";"tf_a1";"ti_a2";"tf_a2";"ti_a3";"tf_a3"
"2015-09-16 16:59:09.126-03";"2015-09-16 16:59:11.213-03";"2015-09-16 16:59:12.642-03";"2015-09-16 16:59:13.696-03";"2015-09-16 16:59:15.243-03";"2015-09-16 16:59:16.468-03"
"2015-09-16 16:59:09.209-03";"2015-09-16 16:59:11.213-03";"2015-09-16 16:59:12.689-03";"2015-09-16 16:59:13.904-03";"2015-09-16 16:59:15.247-03";"2015-09-16 16:59:16.468-03"
"2015-09-16 16:59:09.47-03";"2015-09-16 16:59:11.213-03";"2015-09-16 16:59:12.853-03";"2015-09-16 16:59:14.099-03";"2015-09-16 16:59:15.287-03";"2015-09-16 16:59:16.468-03"
"2015-09-16 16:59:09.589-03";"2015-09-16 16:59:11.213-03";"2015-09-16 16:59:13.067-03";"2015-09-16 16:59:14.102-03";"2015-09-16 16:59:15.339-03";"2015-09-16 16:59:16.551-03"
"2015-09-16 16:59:09.69-03";"2015-09-16 16:59:11.213-03";"2015-09-16 16:59:13.109-03";"2015-09-16 16:59:14.135-03";"2015-09-16 16:59:15.346-03";"2015-09-16 16:59:16.551-03"
"2015-09-16 16:59:11.239-03";"2015-09-16 16:59:12.3-03";"2015-09-16 16:59:13.71-03";"2015-09-16 16:59:14.776-03";"2015-09-16 16:59:16.488-03";"2015-09-16 16:59:17.544-03"
"2015-09-16 16:59:11.251-03";"2015-09-16 16:59:12.44-03";"2015-09-16 16:59:13.956-03";"2015-09-16 16:59:14.998-03";"2015-09-16 16:59:16.55-03";"2015-09-16 16:59:17.572-03"
"2015-09-16 16:59:11.252-03";"2015-09-16 16:59:12.44-03";"2015-09-16 16:59:14.113-03";"2015-09-16 16:59:15.164-03";"2015-09-16 16:59:16.57-03";"2015-09-16 16:59:17.594-03"
"2015-10-28 14:55:15.546-02";"2015-10-28 14:55:16.635-02";"2015-10-28 14:55:23.44-02";"2015-10-28 14:55:24.476-02";"2015-10-28 14:55:25.688-02";"2015-10-28 14:55:26.716-02"
"2015-10-28 14:55:15.591-02";"2015-10-28 14:55:16.635-02";"2015-10-28 14:55:23.47-02";"2015-10-28 14:55:24.488-02";"2015-10-28 14:55:25.695-02";"2015-10-28 14:55:26.717-02"
"2015-10-28 14:55:15.639-02";"2015-10-28 14:55:16.673-02";"2015-10-28 14:55:23.51-02";"2015-10-28 14:55:24.544-02";"2015-10-28 14:55:25.703-02";"2015-10-28 14:55:26.725-02"
"2015-10-28 14:55:16.68-02";"2015-10-28 14:55:17.784-02";"2015-10-28 14:55:24.49-02";"2015-10-28 14:55:25.571-02";"2015-10-28 14:55:26.768-02";"2015-10-28 14:55:27.803-02"
"2015-10-28 14:55:22.223-02";"2015-10-28 14:55:23.273-02";"2015-10-28 14:55:24.582-02";"2015-10-28 14:55:25.598-02";"2015-10-28 14:55:26.772-02";"2015-10-28 14:55:27.807-02"
"2015-10-28 14:55:15.495-02";"2015-10-28 14:55:16.636-02";"2015-10-28 14:55:23.435-02";"2015-10-28 14:55:24.476-02";"2015-10-28 14:55:25.688-02";"2015-10-28 14:55:26.716-02"
"2015-10-28 14:55:15.585-02";"2015-10-28 14:55:16.635-02";"2015-10-28 14:55:23.441-02";"2015-10-28 14:55:24.477-02";"2015-10-28 14:55:25.689-02";"2015-10-28 14:55:26.712-02"
"2015-10-28 14:55:16.656-02";"2015-10-28 14:55:17.783-02";"2015-10-28 14:55:24.489-02";"2015-10-28 14:55:25.571-02";"2015-10-28 14:55:26.732-02";"2015-10-28 14:55:27.752-02"
"2015-10-28 17:39:15.337-02";"2015-10-28 17:39:16.467-02";"2015-10-28 17:39:21.83-02";"2015-10-28 17:39:22.852-02";"2015-10-28 17:39:28.081-02";"2015-10-28 17:39:29.134-02"
"2015-10-28 17:39:18.541-02";"2015-10-28 17:39:19.586-02";"2015-10-28 17:39:24.894-02";"2015-10-28 17:39:25.909-02";"2015-10-28 17:39:31.215-02";"2015-10-28 17:39:32.232-02"
"2015-10-28 17:39:18.548-02";"2015-10-28 17:39:19.586-02";"2015-10-28 17:39:24.964-02";"2015-10-28 17:39:25.979-02";"2015-10-28 17:39:31.221-02";"2015-10-28 17:39:32.239-02"
"2015-10-28 17:39:15.295-02";"2015-10-28 17:39:16.467-02";"2015-10-28 17:39:21.79-02";"2015-10-28 17:39:22.823-02";"2015-10-28 17:39:28.081-02";"2015-10-28 17:39:29.135-02"
"2015-10-28 17:39:15.378-02";"2015-10-28 17:39:16.468-02";"2015-10-28 17:39:21.836-02";"2015-10-28 17:39:22.86-02";"2015-10-28 17:39:28.111-02";"2015-10-28 17:39:29.139-02"
"2015-10-28 17:39:15.229-02";"2015-10-28 17:39:16.467-02";"2015-10-28 17:39:21.844-02";"2015-10-28 17:39:22.872-02";"2015-10-28 17:39:28.089-02";"2015-10-28 17:39:29.125-02"
"2015-10-28 17:39:15.25-02";"2015-10-28 17:39:16.468-02";"2015-10-28 17:39:21.889-02";"2015-10-28 17:39:22.909-02";"2015-10-28 17:39:28.099-02";"2015-10-28 17:39:29.124-02"
"2015-10-28 17:39:18.535-02";"2015-10-28 17:39:19.586-02";"2015-10-28 17:39:24.85-02";"2015-10-28 17:39:25.895-02";"2015-10-28 17:39:31.214-02";"2015-10-28 17:39:32.232-02"
"2015-10-28 17:42:07.395-02";"2015-10-28 17:42:08.523-02";"2015-10-28 17:42:13.889-02";"2015-10-28 17:42:14.929-02";"2015-10-28 17:42:20.166-02";"2015-10-28 17:42:21.201-02"
"2015-10-28 17:42:07.4-02";"2015-10-28 17:42:08.522-02";"2015-10-28 17:42:13.896-02";"2015-10-28 17:42:14.929-02";"2015-10-28 17:42:20.163-02";"2015-10-28 17:42:21.201-02"
"2015-10-28 17:42:07.448-02";"2015-10-28 17:42:08.525-02";"2015-10-28 17:42:13.941-02";"2015-10-28 17:42:14.969-02";"2015-10-28 17:42:20.167-02";"2015-10-28 17:42:21.201-02"
"2015-10-28 17:42:07.491-02";"2015-10-28 17:42:08.558-02";"2015-10-28 17:42:13.943-02";"2015-10-28 17:42:14.969-02";"2015-10-28 17:42:20.179-02";"2015-10-28 17:42:21.207-02"
"2015-10-28 17:42:07.388-02";"2015-10-28 17:42:08.524-02";"2015-10-28 17:42:13.947-02";"2015-10-28 17:42:14.975-02";"2015-10-28 17:42:20.187-02";"2015-10-28 17:42:21.21-02"
"2015-10-28 17:42:10.611-02";"2015-10-28 17:42:11.649-02";"2015-10-28 17:42:16.968-02";"2015-10-28 17:42:17.985-02";"2015-10-28 17:42:23.23-02";"2015-10-28 17:42:24.261-02"
"2015-10-28 17:42:10.612-02";"2015-10-28 17:42:11.65-02";"2015-10-28 17:42:16.988-02";"2015-10-28 17:42:18.018-02";"2015-10-28 17:42:23.246-02";"2015-10-28 17:42:24.271-02"
"2015-10-28 17:42:10.613-02";"2015-10-28 17:42:11.649-02";"2015-10-28 17:42:17.006-02";"2015-10-28 17:42:18.03-02";"2015-10-28 17:42:23.268-02";"2015-10-28 17:42:24.291-02"
"2015-11-03 16:07:00.563-02";"2015-11-03 16:07:01.642-02";"2015-11-03 16:07:07.103-02";"2015-11-03 16:07:08.186-02";"2015-11-03 16:07:13.477-02";"2015-11-03 16:07:14.542-02"
"2015-11-03 16:07:00.604-02";"2015-11-03 16:07:01.64-02";"2015-11-03 16:07:07.106-02";"2015-11-03 16:07:08.186-02";"2015-11-03 16:07:13.523-02";"2015-11-03 16:07:14.542-02"
"2015-11-03 16:07:00.61-02";"2015-11-03 16:07:01.662-02";"2015-11-03 16:07:07.221-02";"2015-11-03 16:07:08.301-02";"2015-11-03 16:07:13.535-02";"2015-11-03 16:07:14.555-02"
"2015-11-03 16:07:00.513-02";"2015-11-03 16:07:01.641-02";"2015-11-03 16:07:07.306-02";"2015-11-03 16:07:08.324-02";"2015-11-03 16:07:13.535-02";"2015-11-03 16:07:14.555-02"
"2015-11-03 16:07:00.519-02";"2015-11-03 16:07:01.641-02";"2015-11-03 16:07:07.362-02";"2015-11-03 16:07:08.386-02";"2015-11-03 16:07:13.542-02";"2015-11-03 16:07:14.56-02"
"2015-11-03 16:07:03.798-02";"2015-11-03 16:07:04.832-02";"2015-11-03 16:07:10.226-02";"2015-11-03 16:07:11.253-02";"2015-11-03 16:07:16.578-02";"2015-11-03 16:07:17.621-02"
"2015-11-03 16:07:03.803-02";"2015-11-03 16:07:04.839-02";"2015-11-03 16:07:10.243-02";"2015-11-03 16:07:11.28-02";"2015-11-03 16:07:16.636-02";"2015-11-03 16:07:17.657-02"
"2015-11-03 16:07:03.809-02";"2015-11-03 16:07:04.845-02";"2015-11-03 16:07:10.338-02";"2015-11-03 16:07:11.373-02";"2015-11-03 16:07:16.651-02";"2015-11-03 16:07:17.677-02"
"2015-11-03 16:20:21.458-02";"2015-11-03 16:20:22.493-02";"2015-11-03 16:20:27.912-02";"2015-11-03 16:20:28.938-02";"2015-11-03 16:20:34.155-02";"2015-11-03 16:20:35.209-02"
"2015-11-03 16:20:21.457-02";"2015-11-03 16:20:22.493-02";"2015-11-03 16:20:27.925-02";"2015-11-03 16:20:28.946-02";"2015-11-03 16:20:34.176-02";"2015-11-03 16:20:35.207-02"
